test/mae,test/rmse,test/r2,split,target
0.0066513181664049,0.0112599851563572,0.9993305206298828,0,IP vs SHE (eV)
0.0782207995653152,0.1401887238025665,0.924746036529541,1,IP vs SHE (eV)
0.0539726950228214,0.0886688306927681,0.96604186296463,2,IP vs SHE (eV)
0.0596445314586162,0.1037244871258735,0.956336259841919,3,IP vs SHE (eV)
0.0505954846739769,0.0855926871299743,0.9683231711387634,4,IP vs SHE (eV)
0.0096556935459375,0.0145188467577099,0.9993849992752076,0,EA vs SHE (eV)
0.0764362886548042,0.1195256412029266,0.9596102833747864,1,EA vs SHE (eV)
0.0606665536761283,0.101833201944828,0.973511815071106,2,EA vs SHE (eV)
0.0553175136446952,0.0944974645972251,0.9739314317703248,3,EA vs SHE (eV)
0.061746671795845,0.1170249283313751,0.9617692232131958,4,EA vs SHE (eV)
