test/mae,test/rmse,test/r2,split,target
3.022423866738677e-09,4.222442395729331e-09,0.8659781813621521,0,Poly Diffusivity
3.469026399471886e-09,4.972981582085367e-09,0.7969259023666382,1,Poly Diffusivity
3.305845153178666e-09,4.639068684753056e-09,0.85163813829422,2,Poly Diffusivity
3.575316043225029e-09,4.903964789804149e-09,0.8016744256019592,3,Poly Diffusivity
3.378180402080488e-09,5.042155581946872e-09,0.7917987108230591,4,Poly Diffusivity
4.274878673271587e-09,5.573449257667562e-09,0.5568196773529053,0,Li Diffusivity
4.8155746057432225e-09,6.2893876773273405e-09,0.3801220059394836,1,Li Diffusivity
4.648245344185398e-09,5.905632427527507e-09,0.5019450187683105,2,Li Diffusivity
4.795287278369642e-09,6.3352390000659414e-09,0.3988057672977447,3,Li Diffusivity
4.746667059407628e-09,6.466895463574929e-09,0.4160621166229248,4,Li Diffusivity
6.392629092744073e-09,8.637847770387452e-09,0.6679562330245972,0,TFSI Diffusivity
6.889070647275731e-09,9.268137368678708e-09,0.6088027954101562,1,TFSI Diffusivity
6.695184850968872e-09,8.985841404296481e-09,0.6786102652549744,2,TFSI Diffusivity
7.1402350698690514e-09,9.660508837328052e-09,0.5463573336601257,3,TFSI Diffusivity
7.659201273213512e-09,1.0771454839186845e-08,0.5284520983695984,4,TFSI Diffusivity
0.1681706458330154,0.2169307321310043,0.3470200896263122,0,Transference Number
0.1866420060396194,0.2429518848657608,0.3017805516719818,1,Transference Number
0.1710931062698364,0.2266396582126617,0.3566642701625824,2,Transference Number
0.1836612373590469,0.2449301183223724,0.3478564918041229,3,Transference Number
0.1686393320560455,0.2270513772964477,0.2953221499919891,4,Transference Number
1.5980158423190005e-05,2.1267496776999902e-05,0.6197460293769836,0,Conductivity
1.778275691322051e-05,2.4111728635034524e-05,0.5104064345359802,1,Conductivity
1.713132587610744e-05,2.3830723876017142e-05,0.595516562461853,2,Conductivity
1.7702441255096346e-05,2.729196057771333e-05,0.3917326033115387,3,Conductivity
1.778407022356987e-05,2.5488625396974385e-05,0.4771543443202972,4,Conductivity
