test/mae,test/rmse,test/r2,split,target
5.9886109404772014e-09,8.330068190787188e-09,0.6911971569061279,0,TFSI Diffusivity
6.303237487514934e-09,8.82779449540294e-09,0.6450923681259155,1,TFSI Diffusivity
6.517885342560703e-09,8.789710292944619e-09,0.6924868822097778,2,TFSI Diffusivity
6.235937100029787e-09,8.605796075755734e-09,0.6400054693222046,3,TFSI Diffusivity
6.900958471334206e-09,9.734219652557384e-09,0.6148948073387146,4,TFSI Diffusivity
4.283012611239201e-09,5.653983059517031e-09,0.543919563293457,0,Li Diffusivity
4.552684895742232e-09,5.918457723907977e-09,0.4510831236839294,1,Li Diffusivity
4.232538763915272e-09,5.455694562783719e-09,0.5749454498291016,2,Li Diffusivity
4.531658603923461e-09,5.8566222982392455e-09,0.4862128794193268,3,Li Diffusivity
4.571084399884739e-09,6.002162766804986e-09,0.4969739317893982,4,Li Diffusivity
