test/mae,test/rmse,test/r2,split,target
4.157886923650267e-09,5.5345763527725475e-09,0.562980055809021,0,Li Diffusivity
4.578713408420754e-09,5.947579317933105e-09,0.4456679224967956,1,Li Diffusivity
4.3621954937123064e-09,5.491078702846153e-09,0.5694141387939453,2,Li Diffusivity
4.445945833708721e-09,5.742734732194776e-09,0.5060007572174072,3,Li Diffusivity
4.534990605264966e-09,6.027575771838656e-09,0.4927052855491638,4,Li Diffusivity
3.041943141823822e-09,4.307284307003556e-09,0.8605382442474365,0,Poly Diffusivity
3.3984641767403904e-09,4.990928115233828e-09,0.7954574823379517,1,Poly Diffusivity
3.1923692578317286e-09,4.469001169127296e-09,0.8623166084289551,2,Poly Diffusivity
3.163937112304893e-09,4.376144779882907e-09,0.8420689702033997,3,Poly Diffusivity
3.233183720752208e-09,4.792278573972908e-09,0.8119232654571533,4,Poly Diffusivity
1.4969999028835446e-05,2.0953017155989073e-05,0.6309083700180054,0,Conductivity
1.746311318129301e-05,2.3402762963087295e-05,0.5387745499610901,1,Conductivity
1.6622430848656222e-05,2.219700581918005e-05,0.649074375629425,2,Conductivity
1.6500956917298026e-05,2.2449057723861188e-05,0.5884512066841125,3,Conductivity
1.713356869004201e-05,2.451717409712728e-05,0.516249418258667,4,Conductivity
6.254615048106871e-09,8.557366371064745e-09,0.6741149425506592,0,TFSI Diffusivity
6.627957294114139e-09,9.130208589169795e-09,0.6203597187995911,1,TFSI Diffusivity
6.412760100715786e-09,8.920004290757788e-09,0.6833025217056274,2,TFSI Diffusivity
6.748967162906183e-09,8.900140180401195e-09,0.6149584650993347,3,TFSI Diffusivity
6.800899399195259e-09,9.381606602687498e-09,0.6422896385192871,4,TFSI Diffusivity
0.1669676005840301,0.2191242724657058,0.3337477147579193,0,Transference Number
0.170722022652626,0.2246129959821701,0.4032105505466461,1,Transference Number
0.1605634838342666,0.2183353900909423,0.4029452502727508,2,Transference Number
0.1728560477495193,0.2296487540006637,0.4266933798789978,3,Transference Number
0.1668401062488556,0.2269718497991562,0.2958157062530517,4,Transference Number
